category,amount
Rent,450.00
Groceries,32.50
Transport,8.00
Utilities,15.75
Entertainment,12.00
Groceries,28.40
Transport,6.50
Utilities,18.20
Groceries,41.10
Entertainment,9.99
Rent,450.00
Groceries,35.60
Transport,7.20
Utilities,16.80
Groceries,22.30
Entertainment,14.50
Transport,5.00
Groceries,39.95
Utilities,19.10
Entertainment,11.25
Rent,450.00
Groceries,31.80
Transport,6.75
Utilities,17.40
Groceries,44.60
Entertainment,10.00
Transport,8.25
Groceries,27.90
Utilities,18.90
Entertainment,13.75
Rent,450.00
Groceries,36.40
Transport,7.00
Utilities,15.60
Groceries,29.20
Entertainment,9.50
Transport,6.00
Groceries,42.80
Utilities,20.00
Entertainment,12.40
Rent,450.00
Groceries,33.10
Transport,8.50
Utilities,16.25
Groceries,25.70
Entertainment,14.99
Transport,5.75
Groceries,38.60
Utilities,19.50
Entertainment,11.00
Rent,450.00
Groceries,34.80
Transport,6.90
Utilities,17.10
Groceries,40.20
Entertainment,10.50
Transport,7.60
Groceries,26.30
Utilities,18.75
Entertainment,13.20
Rent,450.00
Groceries,30.90
Transport,8.10
Utilities,16.90
Groceries,45.00
Entertainment,9.80
Transport,5.40
Groceries,37.25
Utilities,19.80
Entertainment,12.60
Rent,450.00
Groceries,32.00
Transport,7.80
Utilities,15.95
Groceries,28.60
Entertainment,14.20
Transport,6.20
Groceries,41.90
Utilities,18.40
Entertainment,11.90
Rent,450.00
Groceries,35.10
Transport,8.30
Utilities,17.60
Groceries,23.50
Entertainment,10.75
Transport,5.90
Groceries,39.40
Utilities,20.10
Entertainment,13.00
Rent,450.00
Groceries,33.70
Transport,7.10
Utilities,16.30
Groceries,44.20
Entertainment,9.60
Transport,6.80
Groceries,27.40
Utilities,18.60
Entertainment,12.30
